,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri,genres
22277,2022-07-29 12:31,Ben Fero,Motivasyon,681,Ben Fero:Motivasyon,0,,,turkish trap
22278,2022-07-29 12:37,The Weeknd,Take My Breath,339023,The Weeknd:Take My Breath,0,,,canadian contemporary r&b
22279,2022-07-29 12:37,The Weeknd,Take My Breath,339023,The Weeknd:Take My Breath,0,,,canadian pop
22280,2022-07-29 12:37,The Weeknd,Take My Breath,339023,The Weeknd:Take My Breath,0,,,pop
22281,2022-07-29 12:40,The Weeknd,Sacrifice,188918,The Weeknd:Sacrifice,0,,,canadian contemporary r&b
22282,2022-07-29 12:40,The Weeknd,Sacrifice,188918,The Weeknd:Sacrifice,0,,,canadian pop
22283,2022-07-29 12:40,The Weeknd,Sacrifice,188918,The Weeknd:Sacrifice,0,,,pop
22284,2022-07-29 12:42,The Weeknd,A Tale By Quincy,96232,The Weeknd:A Tale By Quincy,0,,,canadian contemporary r&b
22285,2022-07-29 12:42,The Weeknd,A Tale By Quincy,96232,The Weeknd:A Tale By Quincy,0,,,canadian pop
22286,2022-07-29 12:42,The Weeknd,A Tale By Quincy,96232,The Weeknd:A Tale By Quincy,0,,,pop
22287,2022-07-29 12:45,The Weeknd,Out of Time,214193,The Weeknd:Out of Time,0,,,canadian contemporary r&b
22288,2022-07-29 12:45,The Weeknd,Out of Time,214193,The Weeknd:Out of Time,0,,,canadian pop
22289,2022-07-29 12:45,The Weeknd,Out of Time,214193,The Weeknd:Out of Time,0,,,pop
22290,2022-07-29 12:49,The Weeknd,"Here We Go… Again (feat. Tyler, the Creator)",209777,"The Weeknd:Here We Go… Again (feat. Tyler, the Creator)",0,,,canadian contemporary r&b
22291,2022-07-29 12:49,The Weeknd,"Here We Go… Again (feat. Tyler, the Creator)",209777,"The Weeknd:Here We Go… Again (feat. Tyler, the Creator)",0,,,canadian pop
22292,2022-07-29 12:49,The Weeknd,"Here We Go… Again (feat. Tyler, the Creator)",209777,"The Weeknd:Here We Go… Again (feat. Tyler, the Creator)",0,,,pop
22293,2022-07-29 12:52,The Weeknd,Best Friends,163504,The Weeknd:Best Friends,0,,,canadian contemporary r&b
22294,2022-07-29 12:52,The Weeknd,Best Friends,163504,The Weeknd:Best Friends,0,,,canadian pop
22295,2022-07-29 12:52,The Weeknd,Best Friends,163504,The Weeknd:Best Friends,0,,,pop
