,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri,genres
3630,2022-03-04 12:10,Red Hot Chili Peppers,Give It Away,282906,Red Hot Chili Peppers:Give It Away,1,Greatest Hits,2rmoeBqloVIhg7Zb20n5Sq,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3631,2022-03-04 12:13,Red Hot Chili Peppers,Scar Tissue,215906,Red Hot Chili Peppers:Scar Tissue,1,Greatest Hits,6sbE8RyxI6oj54IijF6dLE,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3632,2022-03-04 12:17,Red Hot Chili Peppers,The Zephyr Song,231933,Red Hot Chili Peppers:The Zephyr Song,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3633,2022-03-04 12:22,Red Hot Chili Peppers,Soul to Squeeze,289533,Red Hot Chili Peppers:Soul to Squeeze,1,Greatest Hits,3arKRnq9OUd7yq6LRwVW8I,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3634,2022-03-04 12:25,Red Hot Chili Peppers,Higher Ground - Remastered,202053,Red Hot Chili Peppers:Higher Ground - Remastered,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3635,2022-03-04 12:29,Red Hot Chili Peppers,Around the World,238733,Red Hot Chili Peppers:Around the World,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3636,2022-03-04 12:33,Red Hot Chili Peppers,Tell Me Baby,247666,Red Hot Chili Peppers:Tell Me Baby,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3637,2022-03-04 12:38,Red Hot Chili Peppers,The Adventures of Rain Dance Maggie,282400,Red Hot Chili Peppers:The Adventures of Rain Dance Maggie,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3638,2022-03-04 12:42,Red Hot Chili Peppers,Sick Love,221440,Red Hot Chili Peppers:Sick Love,1,The Getaway,6GsP3uMCd0Dn5T37C93waZ,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3639,2022-03-04 12:46,Red Hot Chili Peppers,Suck My Kiss,217133,Red Hot Chili Peppers:Suck My Kiss,1,Greatest Hits,0AaBRYWKQNOmq0Y0qoedI9,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
